"item","k","expected_vocab","pct_of_full_vocab"
"hedonism01",8,135.206,0.281093555093555
"hedonism01",9,150.948,0.313821205821206
"hedonism01",10,162.186,0.337185031185031
"hedonism01",11,178.376,0.370844074844075
"hedonism01",12,191.182,0.397467775467775
"hedonism01",13,202.4,0.420790020790021
"hedonism01",14,216.024,0.449114345114345
"hedonism01",15,227.388,0.472740124740125
"hedonism01",16,238.626,0.49610395010395
"hedonism01",17,253.322,0.526656964656965
"hedonism01",18,264.438,0.549767151767152
"hedonism01",19,274.486,0.570656964656965
"hedonism01",20,281.788,0.585837837837838
"hedonism01",21,298.728,0.621056133056133
"hedonism01",22,306.832,0.637904365904366
"hedonism01",23,319.218,0.663654885654886
"hedonism01",24,329.978,0.686024948024948
"hedonism01",25,339.98,0.706819126819127
"hedonism01",26,350.896,0.729513513513514
"hedonism01",27,360.132,0.748715176715177
"hedonism01",28,370.796,0.770885654885655
"hedonism01",29,381.39,0.792910602910603
"hedonism01",30,391.532,0.813995841995842
"hedonism01",31,398.988,0.829496881496881
"hedonism01",32,409.472,0.851293139293139
"hedonism01",33,419.782,0.872727650727651
"hedonism01",34,426.406,0.88649896049896
"hedonism01",35,437.258,0.909060291060291
"hedonism01",36,446.684,0.928656964656965
"hedonism01",37,454.536,0.944981288981289
"hedonism01",38,463.498,0.963613305613306
"hedonism01",39,472.68,0.982702702702703
"hedonism01",40,481,1
"hedonism02",2,32.576,0.113505226480836
"hedonism02",3,46.858,0.163268292682927
"hedonism02",4,62.986,0.219463414634146
"hedonism02",5,75.208,0.262048780487805
"hedonism02",6,91.224,0.317853658536585
"hedonism02",7,101.872,0.354954703832753
"hedonism02",8,116.01,0.404216027874564
"hedonism02",9,128.956,0.449324041811847
"hedonism02",10,141.01,0.491324041811847
"hedonism02",11,152.128,0.530062717770035
"hedonism02",12,162.724,0.566982578397213
"hedonism02",13,174.76,0.608919860627178
"hedonism02",14,188.038,0.655184668989547
"hedonism02",15,198.028,0.689993031358885
"hedonism02",16,208.642,0.726975609756098
"hedonism02",17,217.718,0.758599303135888
"hedonism02",18,229.08,0.798188153310105
"hedonism02",19,238.888,0.832362369337979
"hedonism02",20,248.336,0.865282229965157
"hedonism02",21,258.754,0.901581881533101
"hedonism02",22,269.136,0.937756097560976
"hedonism02",23,277.676,0.967512195121951
"hedonism02",24,287,1
"hedonism03",2,35.598,0.101418803418803
"hedonism03",3,52.616,0.149903133903134
"hedonism03",4,68.542,0.195276353276353
"hedonism03",5,83.746,0.238592592592593
"hedonism03",6,96.786,0.27574358974359
"hedonism03",7,110.716,0.315430199430199
"hedonism03",8,123.946,0.353122507122507
"hedonism03",9,136.462,0.388780626780627
"hedonism03",10,147.726,0.420871794871795
"hedonism03",11,162.108,0.461846153846154
"hedonism03",12,173.482,0.494250712250712
"hedonism03",13,185.868,0.529538461538462
"hedonism03",14,197.844,0.56365811965812
"hedonism03",15,207.036,0.589846153846154
"hedonism03",16,218.14,0.621481481481481
"hedonism03",17,229.148,0.652843304843305
"hedonism03",18,238.144,0.678472934472934
"hedonism03",19,248.83,0.708917378917379
"hedonism03",20,258.852,0.737470085470085
"hedonism03",21,269.564,0.767988603988604
"hedonism03",22,278.496,0.793435897435897
"hedonism03",23,287.868,0.820136752136752
"hedonism03",24,298.208,0.849595441595442
"hedonism03",25,307.19,0.875185185185185
"hedonism03",26,317.078,0.903356125356125
"hedonism03",27,325.03,0.926011396011396
"hedonism03",28,333.652,0.950575498575499
"hedonism03",29,342.62,0.976125356125356
"hedonism03",30,351,1
"hedonism07",2,35.882,0.0975054347826087
"hedonism07",3,48.968,0.133065217391304
"hedonism07",4,66.896,0.181782608695652
"hedonism07",5,83.33,0.226440217391304
"hedonism07",6,95.788,0.26029347826087
"hedonism07",7,106.832,0.290304347826087
"hedonism07",8,124.084,0.337184782608696
"hedonism07",9,137.124,0.372619565217391
"hedonism07",10,151.52,0.411739130434783
"hedonism07",11,160.52,0.436195652173913
"hedonism07",12,171.478,0.465972826086957
"hedonism07",13,185.006,0.502733695652174
"hedonism07",14,196.458,0.533853260869565
"hedonism07",15,203.29,0.55241847826087
"hedonism07",16,216.768,0.58904347826087
"hedonism07",17,230.362,0.625983695652174
"hedonism07",18,237.986,0.646701086956522
"hedonism07",19,248.938,0.676461956521739
"hedonism07",20,258.318,0.701951086956522
"hedonism07",21,268.39,0.729320652173913
"hedonism07",22,280.17,0.76133152173913
"hedonism07",23,289.1,0.785597826086957
"hedonism07",24,297.394,0.808135869565217
"hedonism07",25,306.964,0.834141304347826
"hedonism07",26,315.124,0.856315217391304
"hedonism07",27,323.672,0.87954347826087
"hedonism07",28,334.528,0.90904347826087
"hedonism07",29,342.496,0.930695652173913
"hedonism07",30,350.558,0.952603260869565
"hedonism07",31,359.272,0.976282608695652
"hedonism07",32,368,1
"hedonism08",2,41.038,0.104688775510204
"hedonism08",3,58.696,0.149734693877551
"hedonism08",4,75.704,0.193122448979592
"hedonism08",5,92.668,0.236397959183673
"hedonism08",6,107.432,0.274061224489796
"hedonism08",7,122.126,0.311545918367347
"hedonism08",8,137.264,0.350163265306122
"hedonism08",9,149.538,0.381474489795918
"hedonism08",10,164.474,0.419576530612245
"hedonism08",11,175.532,0.447785714285714
"hedonism08",12,187.646,0.478688775510204
"hedonism08",13,200.128,0.510530612244898
"hedonism08",14,213.24,0.543979591836735
"hedonism08",15,221.364,0.564704081632653
"hedonism08",16,235.59,0.600994897959184
"hedonism08",17,245.9,0.627295918367347
"hedonism08",18,257.638,0.657239795918367
"hedonism08",19,265.898,0.678311224489796
"hedonism08",20,276.644,0.705724489795918
"hedonism08",21,289.652,0.738908163265306
"hedonism08",22,297.226,0.758229591836735
